Reviewer,Review,Review Score,Review date
,We need more stories like this showing interaction between the generations and how each can learn and grow from being around the other. DeNiro and Hathaway were perfect in their respective roles....,4.0,"Oct 11, 2015"
,"was a very good movie, de niro was great",5.0,"Oct 11, 2015"
,Good Sunday kleenex movie.,1.5,"Oct 11, 2015"
,"Awesome movie, laughed out loud more than once, very entertaining and just hilarious, Robert Dinero was great!!!",5.0,"Oct 10, 2015"
,Really good feel good movie !!! Super funny and cool :) a great change from the usual films,5.0,"Oct 10, 2015"
,The most emotionally compelling film I've watched in a long time.,5.0,"Oct 10, 2015"
,A+ todas las Emociones en una sola pelicula.,5.0,"Oct 10, 2015"
,right in the feels!!!,5.0,"Oct 10, 2015"
,"I thought this movie was going to be great, but I was surprised how great this movie actually was!",5.0,"Oct 10, 2015"
,loses half a star for a screw-up at the end. but I laughed too much to punish it,4.5,"Oct 10, 2015"
,Tres bon film a regarder avec tendre moitÃ©e!,4.0,"Oct 10, 2015"
,Was lots of fun to watch ...good afternoon at the movies,4.0,"Oct 10, 2015"
,Best movie I've seen in a very long time.,5.0,"Oct 10, 2015"
,Loved it! Love the old school ways!,5.0,"Oct 10, 2015"
,"I don't hand out 5/5s very often. In fact, hardly at all. I had zero problems with this movie. The Intern is nothing short of wonderful.",5.0,"Oct 10, 2015"
,Great acting. Several funny moments. Just an overall good feeling movie.,5.0,"Oct 10, 2015"
,Loved it. Solid performances,5.0,"Oct 10, 2015"
,"Not even the amazing Anne Hathaway could save a script without any intrigue or storyline. Nancy Meyers, you can do better.",2.0,"Oct 10, 2015"
,I don't usually like chick flicks but I loved this one.,5.0,"Oct 10, 2015"
,"Adorable and funny and smart and heart-warming. (Thank God Reese Witherspoon quit the project due to conflict schedule, she would have ruined this)",4.0,"Oct 10, 2015"
,"Audience applauded at the end. Great cast, script, direction, photography, production, and wonderful fun.it is not predicticible, nor does it fall into a set category. Both leads are in top form. Go see it. I will go again.",5.0,"Oct 10, 2015"
,The only reason my sister and I went to see this movie was because Martian was full. We were pleasantly surprised with how funny and heartwarming this movie is. I highly recommend seeing this movie.,5.0,"Oct 10, 2015"
,"Excellent movie. It is interesting, funny, not draggy. I wouldn't even mind seeing it again.",5.0,"Oct 10, 2015"
,It was a good film for date night.,5.0,"Oct 10, 2015"
,Love this movie! I will see it again!!!,5.0,"Oct 10, 2015"
brandon w,Very lovely! A celebration of good old fashioned principles for living.,5.0,"Oct 10, 2015"
,"Very cute and funny, may even bring a few tears.",4.0,"Oct 10, 2015"
,"Great Date Movie. Funny, thoughtful and on point for today.",4.0,"Oct 10, 2015"
,Even better than I expected.,5.0,"Oct 10, 2015"
,The cinematic equivalent of a night in with friends with wine. Comfortable and warming. http://ppcorn.com/us/intern-film-review/,3.0,"Oct 10, 2015"
,Very enjoyable movie. Good story line along with good acting made for an enjoyable night out. Loved the comparison between old school business and new school.,4.0,"Oct 10, 2015"
,"The intern is a confusing movie, both in its (and i hesitate to use this term for fear of shitstorm) gender politics, its slant on experience and the bizarre likability of its two leads. It often shoots, it often misses but overall it is quite endearing and enjoyable. Director Nancy Meyers has been responsible for some of the more cringeworthy 'woman movies' hits including the atrocious 'What women want' but here she turns her eyes towards 'surrogate father' relationships. Because let's not mince words, this is what the Intern is. Real 'man's man' DeNiro is contrasted to the way these 'manchildren playing videogames these days' are, they dress like slobs, can't talk to women and don't carry pocket squares. DeNiro is a bastion of old masculinity, an embodiment of the middle class america of youre and he becomes endearing to the millennial hipster crowd by sheer can-do-ness and seriousness. Kids these days amirite? And in that process he becomes a surrogate masculine figure for quirky, overworked, overachieving start-up founder Hathaway. And this is where the politics get confusing, at least for me as a man with sympathies for feminism. Hathaway is a female Steve Jobs: precise, wealthy through her own merits and workaholic. She is also quite opposed to boys business club masculinity. But still once she gets DeNiro as an intern she is all about leaning on him as a father figure and an emblem of the father-knows-best men of yore (who knows, for instance that she needs to eat when she doesn't, or that she had too much to drink or knows both on-line advertising/sales AND the streets of Brooklyn better etc.). DeNiro is the opposite of a manic pixie dream girl, he is a Calm Progressive Dream Grandpa, the intangible but eminently crush-able strong, supportive man that checks all the boxes. Fortunately, unless you're a critical asshole, this is all not extremely noticeable, because the leads have mad chemistry together. DeNiro is enjoyable, believable and likeable for the first time in ages and Hathaway is... well great. She cranks it up to 100 and creates a complex character in work and family life and jives stunnigly well with DeNiro's respectful, helpful grandpa. The supporting cast of ditzy hipsters is these for a couple of laughs including a rather cringeworthy 'heist' scene that seemed tacked on. But then again, with the exception of Something's gotta give (and even there the humour wobbles) director meyers never could do comedy and was over and over saved by the strength of the cast. Except in What women want cause fuck that movie. So, yeah, the Intern is appealing and endearing, even if it misfires quite a bit. But if you want to see DeNiro in a good role or Hathaway once more, go see it.",3.5,"Oct 10, 2015"
,10/10 would recommend.,5.0,"Oct 10, 2015"
,"Just excellent all around. The acting was superb, and the story pulled at every emotion a bit. Good show.",4.5,"Oct 9, 2015"
,"This movie was a guilty pleasure for me, I enjoyed it a lot can't deny it!",4.0,"Oct 9, 2015"
,"A perfectly cute, harmless movie. Don't need to see it in theaters, but worth your time to see sometime. Very good cast, and nobody phones it in.",3.5,"Oct 9, 2015"
,"Thanks to the chemistry of the two superstars in The Intern, DeNiro and Hathaway, The Intern is a likable movie. The story itself is flawed, yes, but DeNiro and Hathaway have excellent chemistry and create two great characters. What I enjoy, when films can do it right, is when there's no ""villain."" There are flawed people through the movie so writer Nancy Meyers is able to create dilemma, but nobody is a ""bad guy."" Her films are like this and she's mostly successful. Any movie like this is going to have a problem if the run-time is over 2-hours (The Intern is 2:01). There's just no need for it. Also, the awkward way the The Intern had Jules (Hathaway) deal with Ben (DeNiro) was a snag in the movie. The errors in the story are ones I wouldn't expect from a writer/director of Nancy Meyers' calibre. Once this clumsy part to the story is past, The Intern really takes off. With an 80% audience score, which is excellent, I'd say The Intern is definitely worth a rent.",3.5,"Oct 9, 2015"
,This is a great movie. It shows the stress of work and family while remaining positive. Great movie.,5.0,"Oct 9, 2015"
,"Very enjoyable film. Far exceeded my expectations. Sad in places, but funny and feel good mostly",3.5,"Oct 9, 2015"
,Loved the movie. Loved the actors.,5.0,"Oct 9, 2015"
,A nice feel good movie where you don't have to think that hard... just lose yourself in the idea of human relativity.,2.5,"Oct 9, 2015"
,Lovely enjoyable feel good film.,3.5,"Oct 9, 2015"
,"I gave it 5 stars because never once did the thought ""okay, when will it end"" come to mind as it usually does if the film drags... Also it had a nice story to it, if there were cliches I did not notice, because the film had my full attention. Decent actors, funny, heart warming, and it sends a good message. I will be watching it again when it comes out on dvd for sure.",5.0,"Oct 9, 2015"
,"The Intern is directed and written by Nancy Meyers, and it stars Robert De Niro and Anne Hathaway in a comedy film about Ben Whittaker (Robert De Niro) who's a senior and wants to apply for a job. So when he come across a program that seniors would become interns from a fashion company, he wants to apply for it, got the job, and now work as an intern for the CEO of About the Fit. It has been a while since I've watched a Nancy Meyers film, and when I saw this film on HBO, I thought, why not, and just record it so I can watch it later. What I didn't realize is that I didn't expect this movie to be really great, just thought it was just there. Robert De Niro is terrific in this, probably his best in a long time as I haven't seen this type of character that he plays before, and he does it pretty well. Anne Hathaway does a good job of the character that she plays, and the chemistry between them is actually the best part of the film as they are pretty much having a friendship with no hints of of a romance, which I'm glad they didn't do that. The writing by Nancy Meyers is pretty interesting in a way that I'm invested in the characters who are developed enough for me to find them likable and memorable. There were some parts that I was worried that it was going to be a big deal, but it goes by short and sweet, which I was relieved and I liked how it was handled. It's really funny, and the drama moments work really well. There were some plot elements that really did not need to be there, even if it is hilarious, and there were some predictable moments in there. But with all of that said, I clearly underestimate The Intern, and I'm glad that I did.",4.5,"Oct 9, 2015"
,One of my favorite Robert Deniro movies.,5.0,"Oct 9, 2015"
karen n,"Old interns...hmmm haven't heard of this, but I guess it's happening. This is the premise for The Intern and it's not a horrible one. In fact the first half of this movie has a few decent laughs in it. However, the movie takes a turn from hey this old guy is working in a workplace that he's not used to, to old guy and young business owner having a relationship that you aren't sure where it's going. Movies that you know what is going to happen, and what is going to be said but take forever in saying that can be frustrating and that's a little of what is happening here. De Niro is solid here, Hathaway isn't horrible, her husband in the movie is way out of place. He might as well walk around with a sign that says I'm a douche bag. Save this one for the cheap theater.",2.0,"Oct 9, 2015"
,It's not a good movie... and yet I had to give it a positive ranking because the characterization and conclusions the film makes are inherently different than films of this type. It had me thinking about the conversations and themes and what exactly the film was saying.... and that's better than most films of this genre.,3.0,"Oct 9, 2015"
,"This movie is so charming and heartwarming, Robert De Niro delivers his best work since Silver Lining Play Book and Anne Hathaway also does very well and alongside a decent cast and a very simple but good plot they are all delivering the goods in a very good movie, It's really recomended, especially if you want to feel good...:)",3.5,"Oct 9, 2015"
,touching and entertaining,4.5,"Oct 9, 2015"
,Absolutely adorable!,4.0,"Oct 9, 2015"
,"A cute film that is well acted my the 2 stars but is a little long, but is worth seeing on a first date.",3.0,"Oct 9, 2015"
,Robert De Niro in another great role. And oldie showing the inexperienced and young how to do stuff 'old school'.,4.5,"Oct 9, 2015"
,"Clever, witty and well written dialogue. Thoroughly enjoyable fish out of water movie.",4.0,"Oct 9, 2015"
,"Fun movie. No raunch, gore or ongoing foul language. It was nice to feel respected by a movie.",5.0,"Oct 8, 2015"
,A pleasant movie to watch. Happy ending is a bit out of the norm.,2.0,"Oct 8, 2015"
,"One of the best feel good movies of 2015. It's enjoyable, Charming, well written and funny at certains scenes. Robert Deniro is great as a charming intern wanting more thrills in his life and anne hathaway is great as Jules Ostin. If you are looking for the next feel good movie. This is one to watch and not miss.",4.0,"Oct 8, 2015"
,"Cute movie. DeNiro was great, as usual. Ending was too mushy.",3.5,"Oct 8, 2015"
,"Just a nice, fun movie. No one is getting any Oscar nominations out of it - but well acted by a good cast. I never get tired of seeing De Niro in a ""nice guy"" role. A cute movie for a relaxing afternoon at the movies. That's all. And... it's enough.",3.5,"Oct 8, 2015"
,"Very nice movie! Hilarious, sweet, and encouraging!",4.5,"Oct 8, 2015"
,loved it. great soundtrack. good story. deniro was great,3.5,"Oct 8, 2015"
,"A charming comedy/drama, Hathaway and DeNiro's relationship drives this lighthearted but touching film. I was especially impressed with the depth and believability of DeNiro's character. The films deftly plays with inter-generational differences in work and family relationships, while showing how each generation benefits each other. This was an overall feel-good film worth the light and easy journey.",4.0,"Oct 8, 2015"
,It was an enjoyable movie cute funny all around good comedy movie to go see for sure,3.5,"Oct 8, 2015"
,"It wasn't bad...it was just not great. It still works so yeah, it didn't suck, go see it.",3.5,"Oct 8, 2015"
,Went cinema to watch this. great film for couples. just a nice warm film .,4.5,"Oct 8, 2015"
,"Surprisingly strong script, dynamic ensemble work between actors, and just a great feel-good trip to the cinema.",4.0,"Oct 8, 2015"
,"Because of De Nero there was a good turnout of The Old Geezers Who Go To The Matinee Alone and we were not disappointed. A very charming movie about a 70yr old retired guy who takes an internship at a new online business. Ann Hathaway (why is everyone always picking on her? I think she's great) is the young lady trying to mix career and motherhood and being a wife. No big action scenes just fine acting by everyone and a really charming story. Go if you get a chance, it's a feel good movie.",4.0,"Oct 8, 2015"
,Robert De Niro turns up for a change and it's not quite as bad as the reviews suggest. As Nancy Meyers films go it's not as bad as The Holiday but not as good as Something's Gotta Give.,2.5,"Oct 8, 2015"
,"Nice break from action movies! Excellent story that really hits home for those of us that are getting on in years. Believable, well acted and memorable!",4.0,"Oct 7, 2015"
,"I felt this movie backed it self into a bit of a corner plot wise, and it ended a bit abruptly for me. However, I throughly enjoyed watching it- it had the whole theater laughing, crying, and laughing some more. I never knew where it was going and all together it was a fantastic feel good film.",4.0,"Oct 7, 2015"
,I thought it was a good movie,4.0,"Oct 7, 2015"
,"You have a very good feeling about the main characters, especially Ben Whittaker (Robert De Niro). But the story has no twist or anything good.",3.0,"Oct 7, 2015"
,cute movie. a little too long (over 2 hours ) and slow in spots. de Nero great as usual. wait for the rental.,4.0,"Oct 7, 2015"
,"It was a beautiful movie. DeNiro was great and it showed. Hathaway was delightful . She was able to hold her own against DeNiro. Only complaint was, the movie ended leaving me wanting more. Not a sequel but 10 more minutes would be nice.",4.0,"Oct 7, 2015"
,It was very funny and bits of pieces were touching ... Robert DeNiro and Anne Hathaway at their best,5.0,"Oct 7, 2015"
,Sweet and endearing movie about getting on life and complicated relationships in a modern world,3.5,"Oct 7, 2015"
,Great cast. Cute flick. Love the unlikely friendship. Was touching,3.5,"Oct 7, 2015"
,This film has so much heart. Absolutely loved the acting. Well done!,5.0,"Oct 7, 2015"
,"Pasante de Moda es una película muy Feminista (Había que decirlo) que antepone un drama muy forzado que no funciona como clímax, las situaciones comicas están fuera de lugar siempre, y en términos generales es intrascendente. Lo rescatable es quizá el primer tercio de la película, en donde se ve un inicio bien definido donde se construye una linda historia de amistad que se desvía de su camino para ser únicamente salvada por las actuaciones de Robert De Niro y Anne Hathaway.",1.5,"Oct 7, 2015"
,Really funny throughout. Deniro and Hathaway were perfect in the roles.,5.0,"Oct 7, 2015"
,This movie made me happy,4.5,"Oct 7, 2015"
,I like Ann Hathaway. I love Robert De Niro. But I hate this movie!,2.0,"Oct 7, 2015"
,The only thing making this movie even remotely entertaining is Robert De Nero however even he can't elevate this stereotypical story.,2.0,"Oct 7, 2015"
,Lovely movie! Great work by Hathaway and De Niro,5.0,"Oct 7, 2015"
,Good for a few wholesome laughs and meaningful feels.,3.5,"Oct 7, 2015"
,Saw the Movie Twice and it was Better each time! What a wonderful credit to the Elderly person who has much more Music to play in their life!,4.0,"Oct 7, 2015"
chris h,I was thoroughly entertained and laughed a lot. I loved it.,5.0,"Oct 7, 2015"
,Loved this movie. It was a lovely feel good story with some funny parts. Happily see it again,4.0,"Oct 7, 2015"
,Feel good movie that delivers exactly what would you expect from the circumstances. Some goofy laughs thrown in as well. Especially the break and enter.,3.5,"Oct 6, 2015"
,"Good acting, awful plot. Robert De Niro and Anne Hathaway work well together but the plot takes too long to get into the main heart of the plot and the problems with her husband seem like an after thought. At the end I don't think we're any further forward than we were at the start. Mildly funny in places but the random hard-on joke made me cringe.",2.0,"Oct 6, 2015"
,"Very sweet and exactly what you'd expect from Nancy Meyers. If you liked her previous movies, which I did, you'll like this.",3.0,"Oct 6, 2015"
,Actually much better than I expected . RD and AH make seemed to have a fantastic rapport.,4.5,"Oct 6, 2015"
,I loved this movie... Robert DeNiro is so charming!,4.0,"Oct 6, 2015"
,Terrible. This movie made me cry and the ending was just atrocious. I don't know why it was listed as a comedy. While it had its moments the entire thing was about sad subjects. The ending was open ended and left cliff hangers. It also gives off the impression if your husband cheats just forgive him and move on. Terrible would not ever suggest.,0.5,"Oct 6, 2015"
,I LoVeD this movie it was so good!!,5.0,"Oct 6, 2015"
,loved this movie! robert de niro and anne hathaway were great in this movie as well as the upcoming and newcomers.,5.0,"Oct 6, 2015"
,one of the sweetest story lines I have seen in a long time!,5.0,"Oct 6, 2015"
,excellent movie. laughed cried and enjoyed the connection between Hathaway and DeNiro,5.0,"Oct 6, 2015"
,"Middling to fair, with solid, amicable performances but, when you stop to think about it, a thoroughly unnecessary film.",2.5,"Oct 6, 2015"
,"DeNiro is the only bright star in this thing. The plot is predictable. A slap-stick break-in scene in the middle is entirely out of place and does not contribute to the movie. And the ending is sudden, bland and more befitting an after school special.",2.5,"Oct 6, 2015"
,"Delightful!! Had everything you would want. Comedy, realism, tenderness, infidelity, young love, family, work, child rearing and friendship. The cast did an awesome job of making you believe what they were doing was real. Will rent it to watch again soon.",5.0,"Oct 6, 2015"
,Clean. Relevant. Funny. A definite must see.,5.0,"Oct 6, 2015"
,"It's just good things all the time. Magical old man, the movie.",2.5,"Oct 6, 2015"
,Cute concept and observation. Ending wtf?,2.5,"Oct 6, 2015"
,The best movie of the year. Great story line.,5.0,"Oct 6, 2015"
,As light and insubstantial as candy floss. The lead actors hold it together though.,3.5,"Oct 6, 2015"
markus m,Great feel-good movie,5.0,"Oct 6, 2015"
,Good movie. Heartfelt comedy. Ends kind of abruptly.,4.0,"Oct 6, 2015"
,"Not to confuse with 2013 Fox's The Internship, this similar type of drama without a ship behind feels more promising, funny but not ridiculous and thoughtful which one could have expected through its poster. The story delivers something fresh, a creative idea of senior citizen internship program to present the cross-generation relationship, events that are commonly occur in daily working life and how important is the experience of the elderly to inspire the younger generation. The film moves in a smooth pace, filled with nice musics and inspiring scores, along with a gentle spirit that attracts audiences to spend time following the amusing characters for about 120 minutes but a little bit upset by the rushing second half and too unrealistic perfection on its ending. However, the warm, charming and charismatic chemistry between De Niro and Hathaway is the sweetest and most beautiful part of the film to enjoy which makes us believe that we can manage well both career and family life.",4.0,"Oct 6, 2015"
,"We greatly enjoyed this movie. The chemistry between De Niro and Hathaway was excellent, and it was a pleasure to see a movie that developed a great plot without violence! Many minor characters were also well developed. Interesting premise that developed well throughout the movie. Highly recommend!",4.0,"Oct 6, 2015"
,Nice!! Light hearted! Enjoyed the movie!!:)),4.0,"Oct 6, 2015"
,Not the greatest movie but still enjoyable.,3.0,"Oct 6, 2015"
,De Niro and Hathaway were so believable and adorable in their respective roles. I definitely recommend this movie when you need a mood lifter and/or encouragement. I hope I'm that put-together at 70!,4.0,"Oct 5, 2015"
,"Sorprendentemente entretenida, y lo mejor es que Robert De Niro vuelve a actuar, lease, no esta en automatico con en los ultimos 15 anos (salvo dos o tres excepciones). Anne Hathaway tiene ""su momento Julia Roberts"" y lo sostiene durante toda la pelicula. Vale la pena. (Texto intencionalmente sin acentos).",3.0,"Oct 5, 2015"
,DeNiro and Hathaway are a perfect complement to each other in this delightful funny movie. Didn't want it to end.,5.0,"Oct 5, 2015"
,"Sllllloooowwwwwww. A few good laughs, but poor timing/pacing despite cast of award-winners. Too looonnnnnnnggggg!",2.0,"Oct 5, 2015"
,"Funny, light-hearted comedy with good acting.",4.5,"Oct 5, 2015"
,Robert DeNiro shines as Mary Poppins ...,3.0,"Oct 5, 2015"
,"A little longer than required but a nice enough, inoffensive film :)",3.0,"Oct 5, 2015"
,Loved this movie. Lovely and sensitive. Likely poor rating from less sensitive types.,4.5,"Oct 5, 2015"
,"Thoroughly enjoyable and captivating story mainly due to the chemistry of Anne Hathaway and Robert De Niro and the rest of the great cast, though Mary and I rewrote the ending after the film as it failed to deliver in our opinion.",4.0,"Oct 5, 2015"
,A nice easy-to-watch movie with good performances by Robert De Niro and Anne Hathaway. Keeps you engaged.,3.5,"Oct 5, 2015"
,I liked this movie. I wanted to see something light hearted and fun and this was it :),5.0,"Oct 5, 2015"
,"Good cast but a bit slow in places, a good but predictable storyline. If only this had a few more laughs in it & was a little shorter...",2.5,"Oct 5, 2015"
,"While a perfectly alright watch, this film is nothing special. It recycles familiar stereotypes and cliches that you'd expect from a movie of this genre, meaning the little personality the film has all comes from its admittedly damn solid cast. That and while I admire what was attempted with certain plot points and themes, the film's ending doesn't tie up all the loose ends nearly as neatly as it seems to think it does. 6,5/10",3.0,"Oct 5, 2015"
,Excellent picturisation of a retired man filling the gaps in his life.,5.0,"Oct 5, 2015"
,Amazing just goes to show how even though old with experience. Can truly show younger people how to do it. Even though disrespect to the older people still is rife. Really funny and well acted movie!,4.0,"Oct 5, 2015"
,"Sometimes you just have to pay the bills movies are some of my favorites. I love it when great actors make silly movies about love, family and dates strictly for the paycheck. Because they are good actors, the films are typically better than average, they are professionally made and for better or worse hit the spot without making you think or making you more stupid. The Intern is a movie about stereotypes. Old people, young people, startups, New York, business etc etc etc...You can find every single cliche in this 2 hours comedy. I don't know if anyone should skip work to watch this movie, if you have a date or want to have a good time, just go. It's not embarrassing.",3.0,"Oct 5, 2015"
,"Suprisingly excellent and hearfelt. The seamlessly ingenius filmaking that makes you feel like a first person experiencing what the two lead actors/actress are experiencing, is sheer genius! Fantastic film!",5.0,"Oct 5, 2015"
,"A shallow touch of the cliche generation gap subject. The freshess of the movie mainly comes from Robert De Niro. Cause I haven't seen him not being grumpy, unfriendly and mean on screen for quite a long time. And I keep thinking that his role would go to Robin Williams if he is still alive. Also, Anne Hathaway looks so ""Julia Roberts"".",3.0,"Oct 5, 2015"
,A nice feel good movie.,5.0,"Oct 5, 2015"
,"This is a charming movie with some tender moments and some witty humour at times. The story affirms and celebrates values of decency and good manners along with the contribution that older people can make to society. Anne Hathaway has real screen presence as the young CEO who has to overcome her prejudices of having an older intern. It's also good that Robert de Niro is back on screen in a decent role. While the direction loses its focus occasionally, this is an enjoyable, easy-to-watch comedy with some gentle critique of aspects of modern society and good chemistry between its lead actors.",3.5,"Oct 5, 2015"
,A nice feel good film.,3.5,"Oct 4, 2015"
,I love how this movie made the classy old school way of doing things cool again.,5.0,"Oct 4, 2015"
,"""The Intern"" is a sure-fire hit for adults of all ages. Offering plenty of laughs and smiles, the film tosses in several heavy doses of reality and sadness-all mixed into an otherwise straight-forward storyline. De Niro brings the calmness and demeanor of a James Bond around an office water cooler. His charisma and gentle manners takes us back to a slower, more enjoyable life and pace that can still work in today's nonstop world. The always delightful Hathaway captivates us with her wide-range of acting tools. Together, the team of Hathaway and De Niro combine to give audiences an extremely enjoyable and warm big-screen experience. Grade: A Read my entire movie review at www.reelbrief.com",4.5,"Oct 4, 2015"
,"Decent, harmless, riskless, and therefore forgettable. There's nothing really bad about it, I guess. But it just doesn't have enough there for me to remember.",2.5,"Oct 4, 2015"
,"laughed, cried, worried, cleaver, loved it.",5.0,"Oct 4, 2015"
,"I really enjoyed this movie. Just entertainment, no big messages other than respecting your elders can be a good thing and mutual communication and respect between Millenials and boomers should be valued.",3.5,"Oct 4, 2015"
,"Funny, heart warming and thought provoking. Well worth the cost of the ticket.",5.0,"Oct 4, 2015"
,I took a date and we both loved it. Thought it would have been more of a comedy but it turned into a comedy with a love story and a little bit of a tear jerker at the end. We would both watch it again.,4.0,"Oct 4, 2015"
,Feel good movie you can't help but smile.,4.0,"Oct 4, 2015"
,"No surprise plot twists or suspense, but an enjoyable movie about an older man able to befriend and mentor the young people in the company.",3.0,"Oct 4, 2015"
,De Niro is ace while Anne is not far behind in this positive story of women power n balancing relationships. The edit could have been crisper n sprinkled with more laughs in the script but overall the film does entertain.,3.5,"Oct 4, 2015"
,"Rating: Fine I know sometimes the word fine has a negative connotation, but this is definitely the real definition: ""choice, excellent, or admirable"". I really enjoyed this movie from beginning to end with only some slight missteps along the way. The strongest aspect of this film is the reality of it. Throughout the story I felt that this characters will part of the real world. And when you believe that the premise behind the movie becomes the clear focus and provides great insight to society while telling an engaging story. The difference between the older generation of Robert De Niro and the younger workforce led by Anne Hatheway introduces just enough to make you question the modern day. While mentioning the actors we can applaud them because they did a wonderful job of getting us to care about the characters, it is nice to see De Niro throwing himself into a role, even if the character is mostly laid-back yet still charming. And of course Anne Hatheway remains to be one of the best actresses out there, and stunningly gorgeous. The movie is not without faults when it attempts to juggle a few too many story-lines and characters that do not always follow through to a satisfying conclusion. In the same vein some of those pieces mismatch the genuine lived in feel and just stand out as silly moments. Still this is an enjoyable tale and y'all should definitely check it out if the premise looks intriguing to you.",4.0,"Oct 4, 2015"
,Myers tells good stories especially about baby boomers and this is one of her better films due to the unexpected chemistry between Deniro and Hathaway! DeNiro is very touching and believable as a man past his prime trying to prove he still has worth and Hathaway is very believable as a Career Driven working mom who wants it all. Russo is also quite good as DeNiro's potential love interest. Myers does include one plot mechanism that threatens to derail the movie but she recovers. A good date movie! 10-04-2015,3.5,"Oct 4, 2015"
,"Enjoyable funny movie with a bit of preaching monologue at time. The ending is a bit too fairy tale. However, there's a potential for a part 2 movie or a tv series.",4.0,"Oct 4, 2015"
,Thought it was a feel good movie....... a nice respite from all the violence around us all.,4.5,"Oct 4, 2015"
,"Last night we went out with some friends to see, ""The Intern"". I know the reviews were mixed on this one, but this was the movie we all agreed on and I'm glad we did.*** Robert De Niro was perfect for this part. I advise that you see it! Tell me if you see a little,""Taxi Driver"" in it see if you can pick it out. Fun and very well written, a Nancy Meyers film, it's her best.",4.5,"Oct 4, 2015"
,Very enjoyable movie. Dr Nero owned it!,4.5,"Oct 4, 2015"
,A wonderful story with great acting that is plausible and demonstrates the differences between the generations and what each has to offer the other.,5.0,"Oct 4, 2015"
,"I surprisingly kinda liked it. Is it going to be the best film of all time? No. Is it a fun time? Absolutely. The chemistry between De Niro and Hathaway is top notch. And that's what really sells the movie in my opinion. Really, I had fun and that's all that really matters for a film like this.",3.5,"Oct 4, 2015"
,This was a very enjoyable movie. It was very well-cast with parts that were touching and others that were funny. Loved Robert DeNiro's character as well as Anne Hathaway's. The trio who helped with the 'heist' was a hoot! The plot line was not predictable. SEE IT!,5.0,"Oct 4, 2015"
,Well done! I have watched this movie more than once!,5.0,"Oct 4, 2015"
,"Wonderfully refreshing movie! I fell in love with De Niro's character. Beautiful cinematography, perfect pace, and a great message. My favorite kind of movie. I wish they would make more like this!",5.0,"Oct 4, 2015"
,Really sweet movie - made me smile a lot x,5.0,"Oct 4, 2015"
,Another new little gem from director Nancy Meyers who has successfully made a modern buddy film with the most unlikely of characters. The story of 70 year old Ben Whitaker taking an opportunity as an intern to a clothing web company helmed by Anne Hathaway. Filled with great moments & characters & filled with a lot of truth. Filled with some delightful moments & was so nice to see De Niro play the lovable character. It's a charming film that isn't hard to fall in love with quickly. In a sea of black films these days it's a rare treat to get a good old fashioned nice film.,3.5,"Oct 4, 2015"
,Great movie! Great moral values! Rarely does Hollywood actually makes movies like this anymore without sex scenes and vulgarity.,5.0,"Oct 4, 2015"
,"This movie confirmed my opinion that critics see too many movies for different reasons than the rest of us. People like it a lot more than critics do. It is funny, heart-warming and reminds me of several places I worked where I was the only mature person in the building. I spend $x for 90 minutes of entertainment. I'm okay with that - it seems like a fair deal. Robert DeNiro is a charming old world gentleman and Ann Hathaway is the tech exec totally unprepared for her own success. The chemistry works.",4.0,"Oct 4, 2015"
,"Cute date night movie. Ending kinda felt a little lame to me with her super fast forgiveness, but overall an entertaining movie.",3.5,"Oct 4, 2015"
,"It's really not much of a movie. It's fluff. Major fluff. But the legend himself, Robert De Niro, all geared up to play for humor and heart, is at his most charming and beguiling. De Niro is Ben Whittaker, 70, a retired widower hired as an intern for a Brooklyn e-commerce fashion house run by Jules Ostin (Anne Hathaway), a work-obsessed wife and mother who can't even think of what she could learn from an old guy until, well, she does. Writer-director Nancy Meyers (Something's Gotta Give, It's Complicated) and De Niro make it all go down way easy.",2.5,"Oct 3, 2015"
,"This is an easy movie to like - what's not to, with DeNiro (self deprecating humor) and Hathaway (strong yet vulnerable) as the leads. Charming but not overly impressive in terms of dramatic range.",3.5,"Oct 3, 2015"
,Loved it!!!...great feel good movie...Robert De Niro and Anne Hathaway are great together...excellent :),4.5,"Oct 3, 2015"
,"""Smooth & Cheerful "".",4.0,"Oct 3, 2015"
,"Fabulous, perfectly cast, funny, touching film about a 70 year old intern (DeNiro) at a fast rising ecommerce company and the frazzled young ceo (Anne Hathaway) who he befriends and mentors. Very poignant.",5.0,"Oct 3, 2015"
,I liked this movie a lot!,4.0,"Oct 3, 2015"
,"A movie so devoid of conflict (an email must be deleted! a cashmere sweater arrives askew!) does not have the right to be so darn charming but somehow DeNiiro, Hathaway and company pull off an often sweet and wise workplace comedy. Besides the wonderful supporting cast, the ultra-crisp set design and cinematography make this Brooklyn warehouse a place anyone would want to work for free.",4.0,"Oct 3, 2015"
,"My friend and I went to watch it just a few hours ago and we enjoyed the movie, it was funny, sad and more. I would watch it again",4.5,"Oct 3, 2015"
